pt,p_throws,delta_3b_in,d_stuff,n
ST,R,3,0.300358165931671,12577
CU,L,3,0.236159075530529,4418
SI,L,3,0.0418871507937645,11579
ST,L,3,0.751734591841107,4904
FF,L,3,0.0115148210251552,21223
CH,L,3,0.376439356204696,9928
SL,L,3,-0.096911578136773,8724
FC,L,3,-0.0707053365363071,4405
FS,L,3,0.161749860822744,781
SI,R,2,-0.0228642481882003,25818
FC,R,2,0.0482527095859096,13054
SL,R,2,0.266259348147523,20362
CU,R,2,0.305390846514021,11619
FF,R,2,-0.00268320226210002,52611
CH,R,2,-0.0704481377400797,16724
FS,R,2,0.00538500430452402,6921
ST,R,2,0.258182662099626,12577
CU,L,2,0.219013302105125,4418
SI,L,2,0.030368428063184,11579
ST,L,2,0.386478291026359,4904
FF,L,2,0.00626002096013347,21223
CH,L,2,0.272195724442,9928
SL,L,2,-0.0888471077932233,8724
FC,L,2,-0.0613861260286544,4405
FS,L,2,0.0790794673359264,781
SI,R,1,-0.0119987755026803,25818
FC,R,1,0.0383024404727363,13054
SL,R,1,0.163597367334224,20362
CU,R,1,0.184697616103497,11619
FF,R,1,-5.7672771883142e-05,52611
CH,R,1,-0.0346182542975635,16724
FS,R,1,0.00355751978946295,6921
ST,R,1,0.196306166761682,12577
CU,L,1,0.1231818139492,4418
SI,L,1,0.0172641017879053,11579
ST,L,1,0.0457804740402856,4904
FF,L,1,0.00520673046599379,21223
CH,L,1,0.147759285802123,9928
SL,L,1,-0.0767423718873414,8724
FC,L,1,-0.0466418852125321,4405
FS,L,1,0.0457894009594822,781
SI,R,0,0,25818
FC,R,0,0,13054
SL,R,0,0,20362
CU,R,0,0,11619
FF,R,0,0,52611
CH,R,0,0,16724
FS,R,0,0,6921
ST,R,0,0,12577
CU,L,0,0,4418
SI,L,0,0,11579
ST,L,0,0,4904
FF,L,0,0,21223
CH,L,0,0,9928
SL,L,0,0,8724
FC,L,0,0,4405
FS,L,0,0,781
SI,R,-1,0.01605765829399,25818
FC,R,-1,-0.0390726223689303,13054
SL,R,-1,-0.152641165069113,20362
CU,R,-1,-0.142252358200665,11619
FF,R,-1,0.00119408775619888,52611
CH,R,-1,0.0457252009099078,16724
FS,R,-1,0.0129129931401453,6921
ST,R,-1,-0.217355871604922,12577
CU,L,-1,0.0118343093054024,4418
SI,L,-1,-0.0140808311454003,11579
ST,L,-1,0.041545090829424,4904
FF,L,-1,-0.000356760196932098,21223
CH,L,-1,-0.169432127719433,9928
SL,L,-1,0.10671791386855,8724
FC,L,-1,0.0843962484267029,4405
FS,L,-1,0.0252585729616673,781
SI,R,-2,0.0286016778610727,25818
FC,R,-2,-0.0593373129314362,13054
SL,R,-2,-0.228418863922247,20362
CU,R,-2,-0.124047078458394,11619
FF,R,-2,0.00104307057816049,52611
CH,R,-2,0.065665242548577,16724
FS,R,-2,0.0192014146689822,6921
ST,R,-2,-0.294860898946912,12577
CU,L,-2,0.0511504085734518,4418
SI,L,-2,-0.0245001794825808,11579
ST,L,-2,-0.125914246666615,4904
FF,L,-2,0.00262428381308543,21223
CH,L,-2,-0.318893761182552,9928
SL,L,-2,0.146039491661203,8724
FC,L,-2,0.167080609090036,4405
FS,L,-2,-0.00699890251035292,781
SI,R,-3,0.0447940032609608,25818
FC,R,-3,-0.103540885282262,13054
SL,R,-3,-0.350136746800024,20362
CU,R,-3,-0.169571424613726,11619
FF,R,-3,-0.00299202524053245,52611
CH,R,-3,0.0916568164579164,16724
FS,R,-3,-0.00171079146831955,6921
ST,R,-3,-0.483651364412055,12577
